S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,456722125,17213632:1001,16777343:61671,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,456722125,17213632:1001,16777343:61671,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,456722134,17213632:1001,16777343:61671,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,456722167,17213632:1001,16777343:61671,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,456722181,17213632:1001,16777343:61671,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,456722181,17213632:1001,16777343:61671,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,456722181,17213632:1001,16777343:61671,65535,0,0,2,
data in bytes:
		11 7f 00 00 01 e9 03 c0 a8 06 01 e7 f0


Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,456722211,17213632:1001,16777343:61671,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,456722211,17213632:1001,16777343:61671,65535,-1,0,-1,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,456722241,17213632:1001,16777343:61671,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,456722241,17213632:1001,16777343:61671,65535,0,0,-1,
data in bytes:
		53 00 00 00 00 00 00 00 0e 9c 02 00 00 00 00 00
		05 00 00 00 44 15 00 00 e7 f0 00 00 00 00 00 00
		00 00 77 01 00 84 53 ae 08 84 53 ae 08 40 b9 e9
		1e 30 f3 d8 00 ae 23 8c 01 14 03


Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,456722243,17213632:1001,16777343:61671,65535,-1,0,-1,
Snd,Nrm,4294967295,    5,ID_CONNECTED_PONG,72,456722274,17213632:1001,16777343:61671,65535,-1,0,-1,
Snd,Nrm,4294967295,    5,Unknown,128,456722274,17213632:1001,16777343:61671,65535,-1,0,0,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,456722275,17213632:1001,16777343:61671,65535,0,0,-1,
Rcv,Nrm,    7,    4,ID_DISCONNECTION_NOTIFICATION,8,456722328,17213632:1001,16777343:61671,65535,0,0,3,
data in bytes:
		13


